id,symbol,status,timestamp_created,buy_order_price,buy_order_status,sell_order_price,sell_order_status,buy_size_quote,buy_size_base,sell_size_quote,sell_size_base,psar_timeframe,max_number_of_trades_for_period,max_number_of_trades_period,buy_order_fill_timestamp,buy_order_fee,sell_order_fill_timestamp,sell_order_fee,side,gross_pnl,net_pnl
71,btcusdt,closed,2022-04-01 00:00:15.662933,45520.984785600005,filled,45521.89521440001,filled,12,0.0002636146835688856,12.00012,0.0002636120474220499,5min,100,7d,2022-04-01 00:00:49.893617,0.0012000000000000001,2022-04-01 00:00:50.832274,0.001200012,long,0.00012000000000078614,-0.002280011999999214
72,btcusdt,closed,2022-04-01 00:00:15.662934,45521.45478090001,filled,45522.36521910001,filled,12,0.0002636119618267338,12.00012,0.0002636093257071155,5min,100,7d,2022-04-01 00:00:49.893617,0.0012000000000000001,2022-04-01 00:00:50.832274,0.001200012,long,0.00012000000000078614,-0.002280011999999214
73,btcusdt,closed,2022-04-01 00:00:15.722125,45521.91477630001,filled,45522.825223700005,filled,12,0.00026360929804841027,12.00012,0.0002636066619554298,5min,100,7d,2022-04-01 00:00:49.893617,0.0012000000000000001,2022-04-01 00:00:50.832275,0.001200012,long,0.00012000000000078614,-0.002280011999999214
74,btcusdt,closed,2022-04-01 00:00:15.761123,45521.91477630001,filled,45522.825223700005,filled,12,0.00026360929804841027,12.00012,0.0002636066619554298,5min,100,7d,2022-04-01 00:00:49.893617,0.0012000000000000001,2022-04-01 00:00:50.832275,0.001200012,long,0.00012000000000078614,-0.002280011999999214
75,btcusdt,closed,2022-04-01 00:00:15.827298,45522.7247682,filled,45523.635231800006,filled,12,0.00026360460761308877,12.000120000000003,0.0002636019715670127,5min,100,7d,2022-04-01 00:00:49.893617,0.0012000000000000001,2022-04-01 00:00:50.832275,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
33,btcusdt,closed,2022-04-01 00:00:15.343755,45512.0648748,filled,45512.9751252,filled,12,0.00026366634941769895,12.00012,0.0002636637127542048,5min,100,7d,2022-04-01 00:00:52.777535,0.0012000000000000001,2022-04-01 00:02:53.002815,0.001200012,long,0.00012000000000078614,-0.002280011999999214
34,btcusdt,closed,2022-04-01 00:00:15.343758,45512.0648748,filled,45512.9751252,filled,12,0.00026366634941769895,12.00012,0.0002636637127542048,5min,100,7d,2022-04-01 00:00:52.777535,0.0012000000000000001,2022-04-01 00:02:53.002815,0.001200012,long,0.00012000000000078614,-0.002280011999999214
35,btcusdt,closed,2022-04-01 00:00:15.344321,45512.0648748,filled,45512.9751252,filled,12,0.00026366634941769895,12.00012,0.0002636637127542048,5min,100,7d,2022-04-01 00:00:52.777535,0.0012000000000000001,2022-04-01 00:02:53.002815,0.001200012,long,0.00012000000000078614,-0.002280011999999214
36,btcusdt,closed,2022-04-01 00:00:15.344323,45512.364871800004,filled,45513.2751282,filled,12,0.0002636646114479395,12.00012,0.0002636619748018251,5min,100,7d,2022-04-01 00:00:52.777535,0.0012000000000000001,2022-04-01 00:02:53.002815,0.001200012,long,0.00012000000000078614,-0.002280011999999214
37,btcusdt,closed,2022-04-01 00:00:15.344323,45512.9848656,filled,45513.89513440001,filled,12,0.00026366101971637414,12.000120000000003,0.000263658383106177,5min,100,7d,2022-04-01 00:00:52.759215,0.0012000000000000001,2022-04-01 00:02:53.002819,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
38,btcusdt,closed,2022-04-01 00:00:15.347980,45513.044865,filled,45513.955135000004,filled,12,0.0002636606721346416,12.00012,0.0002636580355279203,5min,100,7d,2022-04-01 00:00:52.759215,0.0012000000000000001,2022-04-01 00:02:53.002819,0.001200012,long,0.00012000000000078614,-0.002280011999999214
46,btcusdt,closed,2022-04-01 00:00:15.351840,45512.9948655,filled,45513.9051345,filled,12,0.0002636609617860218,12.00012,0.0002636583251764039,5min,100,7d,2022-04-01 00:00:52.759215,0.0012000000000000001,2022-04-01 00:02:53.002819,0.001200012,long,0.00012000000000078614,-0.002280011999999214
47,btcusdt,closed,2022-04-01 00:00:15.351842,45512.9848656,filled,45513.89513440001,filled,12,0.00026366101971637414,12.000120000000003,0.000263658383106177,5min,100,7d,2022-04-01 00:00:52.759215,0.0012000000000000001,2022-04-01 00:02:53.002819,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
48,btcusdt,closed,2022-04-01 00:00:15.353431,45515.494840499996,filled,45516.4051595,filled,12,0.0002636464799965729,12.00012,0.00026364384353177295,5min,100,7d,2022-04-01 00:00:51.844396,0.0012000000000000001,2022-04-01 00:02:53.929810,0.001200012,long,0.00012000000000078614,-0.002280011999999214
51,btcusdt,closed,2022-04-01 00:00:15.371012,45515.4848406,filled,45516.3951594,filled,12,0.0002636465379205617,12.00012,0.0002636439014551825,5min,100,7d,2022-04-01 00:00:51.844396,0.0012000000000000001,2022-04-01 00:02:53.929810,0.001200012,long,0.00012000000000078614,-0.002280011999999214
53,btcusdt,closed,2022-04-01 00:00:15.517812,45517.7648178,filled,45518.6751822,filled,12,0.0002636333319097278,12.00012,0.00026363069557640875,5min,100,7d,2022-04-01 00:00:51.575855,0.0012000000000000001,2022-04-01 00:02:55.515973,0.001200012,long,0.00012000000000078614,-0.002280011999999214
54,btcusdt,closed,2022-04-01 00:00:15.538883,45517.7748177,filled,45518.6851823,filled,12,0.0002636332739915417,12.000119999999999,0.00026363063765880173,5min,100,7d,2022-04-01 00:00:51.575855,0.0012000000000000001,2022-04-01 00:02:55.515973,0.0012000119999999999,long,0.00011999999999900979,-0.00228001200000099
55,btcusdt,closed,2022-04-01 00:00:15.538964,45517.7748177,filled,45518.6851823,filled,12,0.0002636332739915417,12.000119999999999,0.00026363063765880173,5min,100,7d,2022-04-01 00:00:51.575855,0.0012000000000000001,2022-04-01 00:02:55.515973,0.0012000119999999999,long,0.00011999999999900979,-0.00228001200000099
56,btcusdt,closed,2022-04-01 00:00:15.538966,45517.7748177,filled,45518.6851823,filled,12,0.0002636332739915417,12.000119999999999,0.00026363063765880173,5min,100,7d,2022-04-01 00:00:51.575855,0.0012000000000000001,2022-04-01 00:02:55.515973,0.0012000119999999999,long,0.00011999999999900979,-0.00228001200000099
57,btcusdt,closed,2022-04-01 00:00:15.539129,45519.0648048,filled,45519.9751952,filled,12,0.00026362580275890457,12.00012,0.000263623166500877,5min,100,7d,2022-04-01 00:00:51.575846,0.0012000000000000001,2022-04-01 00:02:55.723652,0.001200012,long,0.00012000000000078614,-0.002280011999999214
58,btcusdt,closed,2022-04-01 00:00:15.539131,45519.2048034,filled,45520.1151966,filled,12,0.00026362499195292785,12.00012,0.0002636223557030083,5min,100,7d,2022-04-01 00:00:51.571290,0.0012000000000000001,2022-04-01 00:02:55.723652,0.001200012,long,0.00012000000000078614,-0.002280011999999214
59,btcusdt,closed,2022-04-01 00:00:15.539157,45519.7547979,filled,45520.665202100005,filled,12,0.00026362180669201686,12.000120000000003,0.00026361917047394994,5min,100,7d,2022-04-01 00:00:51.567923,0.0012000000000000001,2022-04-01 00:02:55.781056,0.0012000120000000003,long,0.0001200000000025625,-0.002280011999997438
